date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-08-10,新潟,6,04252606,2:300,2:180;12:480;4:330,2-7:3390,2-12:8250,2-12:2250;2-4:990;4-12:4970,2-12:9720,2-4-12:24280,2-12-4:116010
2025-08-10,新潟,7,04252607,1:890,1:360;2:840;11:820,1-2:7830,1-2:13320,1-2:3600;1-11:4170;2-11:9710,1-2:19930,1-2-11:100940,1-2-11:448110
2025-08-10,新潟,8,04252608,18:190,18:120;13:150;16:150,7-8:310,13-18:530,13-18:250;16-18:270;13-16:370,18-13:670,13-16-18:800,18-13-16:2420
2025-08-10,新潟,9,04252609,4:480,4:180;7:240;8:340,3-5:1590,4-7:3290,4-7:860;4-8:1280;7-8:1640,4-7:5280,4-7-8:10480,4-7-8:43410
2025-08-10,新潟,10,04252610,9:680,9:270;7:670;6:640,4-5:2450,7-9:6880,7-9:1900;6-9:1360;6-7:5360,9-7:11440,6-7-9:26060,9-7-6:128150
2025-08-10,新潟,11,04252611,8:790,8:200;3:180;9:160,3-5:600,3-8:2250,3-8:740;8-9:470;3-9:570,8-3:4810,3-8-9:2550,8-3-9:21280
2025-08-10,新潟,12,04252612,6:550,6:240;18:330;4:320,3-8:770,6-18:3700,6-18:1580;4-6:1240;4-18:2430,6-18:6560,4-6-18:12330,6-18-4:64390
2025-08-10,札幌,1,01251601,5:1170,5:340;9:590;7:650,4-6:2450,5-9:13910,5-9:2900;5-7:4230;7-9:8750,5-9:26140,5-7-9:100130,5-9-7:522990
2025-08-10,札幌,2,01251602,5:3010,5:580;1:150;4:200,1-5:1290,1-5:3860,1-5:1400;4-5:2360;1-4:340,5-1:9790,1-4-5:4810,5-1-4:46090
2025-08-10,札幌,3,01251603,13:520,13:190;14:260;3:130,7-7:2030,13-14:2360,13-14:720;3-13:330;3-14:570,13-14:3470,3-13-14:2050,13-14-3:12060
2025-08-10,札幌,4,01251604,13:310,13:140;12:140;1:170,7-8:440,12-13:560,12-13:250;1-13:480;1-12:450,13-12:1040,1-12-13:1280,13-12-1:4760
2025-08-10,札幌,5,01251605,6:1150,6:210;1:280;8:120,1-5:5290,1-6:5230,1-6:1040;6-8:500;1-8:710,6-1:10860,1-6-8:4490,6-1-8:49700
2025-08-10,札幌,6,01251606,4:440,4:160;14:140;7:190,3-8:540,4-14:950,4-14:390;4-7:500;7-14:550,4-14:1830,4-7-14:1890,4-14-7:11280
2025-08-10,札幌,7,01251607,2:380,2:180;14:310;3:220,2-8:690,2-14:2270,2-14:980;2-3:610;3-14:1360,2-14:3520,2-3-14:5570,2-14-3:22390
2025-08-10,札幌,8,01251608,4:340,4:140;8:140;7:330,4-8:380,4-8:700,4-8:280;4-7:830;7-8:1020,4-8:1380,4-7-8:3700,4-8-7:12070
2025-08-10,札幌,9,01251609,7:140,7:110;6:240;8:300,6-7:620,6-7:540,6-7:350;7-8:510;6-8:1270,7-6:760,6-7-8:2370,7-6-8:5210
2025-08-10,札幌,10,01251610,7:490,7:220;5:580;6:260,4-5:1110,5-7:10540,5-7:2600;6-7:640;5-6:1860,7-5:16380,5-6-7:10850,7-5-6:83120
2025-08-10,札幌,11,01251611,11:670,11:320;10:990;1:880,5-6:2300,10-11:11930,10-11:3940;1-11:4630;1-10:11310,11-10:16090,1-10-11:139320,11-10-1:442640
2025-08-10,札幌,12,01251612,4:160,4:120;10:260;11:200,3-6:1380,4-10:1550,4-10:670;4-11:430;10-11:1350,4-10:1930,4-10-11:4790,4-10-11:14980
