date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-08-16,札幌,1,01251701,6:230,6:120;5:130,,5-6:250,5-6:120;3-6:130;3-5:150,6-5:480,3-5-6:180,6-5-3:860
2025-08-16,札幌,2,01251702,14:1640,14:480;13:170;2:190,8-8:3250,13-14:3220,13-14:1200;2-14:1820;2-13:410,14-13:7480,2-13-14:5780,14-13-2:41020
2025-08-16,札幌,3,01251703,10:440,10:160;1:110;5:270,1-7:720,1-10:680,1-10:320;5-10:1090;1-5:500,10-1:1470,1-5-10:2900,10-1-5:11690
2025-08-16,札幌,4,01251704,10:310,10:140;5:330;2:170,4-6:1810,5-10:3170,5-10:790;2-10:400;2-5:1080,10-5:4830,2-5-10:4270,10-5-2:22610
2025-08-16,札幌,5,01251705,4:470,4:160;7:260;5:120,4-6:2700,4-7:4130,4-7:1060;4-5:250;5-7:560,4-7:7550,4-5-7:2380,4-7-5:24170
2025-08-16,札幌,6,01251706,10:460,10:160;1:170;13:250,1-6:920,1-10:1050,1-10:440;10-13:650;1-13:810,10-1:2180,1-10-13:2640,10-1-13:13080
2025-08-16,札幌,7,01251707,2:3480,2:380;7:130;3:130,2-7:3650,2-7:3780,2-7:920;2-3:770;3-7:220,2-7:11760,2-3-7:2780,2-7-3:39070
2025-08-16,札幌,8,01251708,7:200,7:130;9:640;12:420,5-6:2090,7-9:2390,7-9:900;7-12:690;9-12:3600,7-9:3180,7-9-12:10640,7-9-12:32060
2025-08-16,札幌,9,01251709,8:160,8:100;3:160;4:100,,3-8:880,3-8:270;4-8:120;3-4:280,8-3:1170,3-4-8:370,8-3-4:2280
2025-08-16,札幌,10,01251710,9:520,9:220;13:460;12:220,6-8:680,9-13:4430,9-13:1330;9-12:1010;12-13:1410,9-13:6300,9-12-13:9580,9-13-12:54460
2025-08-16,札幌,11,01251711,7:1360,7:480;8:440;13:400,5-5:7860,7-8:8550,7-8:2710;7-13:2520;8-13:2830,7-8:16290,7-8-13:36850,7-8-13:217140
2025-08-16,札幌,12,01251712,10:460,10:230;2:210;1:330,2-7:1950,2-10:2030,2-10:690;1-10:790;1-2:1170,10-2:2970,1-2-10:6270,10-2-1:25390
2025-08-16,新潟,1,04252701,8:150,8:110;12:490;4:240,6-8:1390,8-12:2530,8-12:820;4-8:610;4-12:3300,8-12:3220,4-8-12:6810,8-12-4:20300
2025-08-16,新潟,2,04252702,16:300,16:140;10:400;15:150,5-8:2450,10-16:3130,10-16:1160;15-16:330;10-15:1370,16-10:4310,10-15-16:4380,16-10-15:27450
2025-08-16,新潟,3,04252703,13:430,13:200;12:370;5:4070,7-8:1290,12-13:2880,12-13:900;5-13:10620;5-12:21120,13-12:4540,5-12-13:156320,13-12-5:408370
2025-08-16,新潟,4,04252704,1:120,1:110;9:320;7:250,1-7:1020,1-9:1110,1-9:480;1-7:380;7-9:2090,1-9:1470,1-7-9:5450,1-9-7:10900
2025-08-16,新潟,5,04252705,17:500,17:190;16:190;12:180,8-8:1410,16-17:1490,16-17:520;12-17:570;12-16:600,17-16:2790,12-16-17:2390,17-16-12:13180
2025-08-16,新潟,6,04252706,7:220,7:110;2:110;4:230,2-6:310,2-7:300,2-7:150;4-7:420;2-4:360,7-2:500,2-4-7:840,7-2-4:2350
2025-08-16,新潟,7,04252707,15:510,15:170;10:130;7:160,6-8:590,10-15:1140,10-15:450;7-15:550;7-10:320,15-10:2840,7-10-15:2010,15-10-7:11380
2025-08-16,新潟,8,04252708,7:160,7:110;10:230;13:320,5-7:840,7-10:1360,7-10:490;7-13:660;10-13:1580,7-10:1540,7-10-13:4390,7-10-13:10520
2025-08-16,新潟,9,04252709,12:200,12:110;9:130;1:130,6-7:380,9-12:440,9-12:200;1-12:230;1-9:380,12-9:630,1-9-12:640,12-9-1:1970
2025-08-16,新潟,10,04252710,12:240,12:120;5:150;15:220,3-7:440,5-12:430,5-12:240;12-15:490;5-15:700,12-5:930,5-12-15:1820,12-5-15:5590
2025-08-16,新潟,11,04252711,6:840,6:280;7:540;10:170,3-4:4430,6-7:10820,6-7:3290;6-10:720;7-10:1700,6-7:18470,6-7-10:12010,6-7-10:87580
2025-08-16,新潟,12,04252712,12:1690,12:400;17:310;9:800,6-8:2460,12-17:6010,12-17:1650;9-12:4590;9-17:3780,12-17:16250,9-12-17:51730,12-17-9:378880
2025-08-16,中京,1,07253701,5:340,5:140;7:300;8:950,5-7:1370,5-7:1460,5-7:570;5-8:2020;7-8:3570,5-7:2640,5-7-8:14100,5-7-8:65560
2025-08-16,中京,2,07253702,10:230,10:110;9:120;5:190,8-8:300,9-10:330,9-10:170;5-10:360;5-9:460,10-9:600,5-9-10:1110,10-9-5:3160
2025-08-16,中京,3,07253703,16:1450,16:410;7:160;9:270,4-8:1810,7-16:2320,7-16:820;9-16:1390;7-9:540,16-7:6850,7-9-16:4770,16-7-9:34750
2025-08-16,中京,4,07253704,7:300,7:130;12:120;4:170,4-6:400,7-12:400,7-12:200;4-7:360;4-12:420,7-12:860,4-7-12:890,7-12-4:3240
2025-08-16,中京,5,07253705,13:1160,13:320;3:460;8:210,2-7:2830,3-13:10000,3-13:2220;8-13:1210;3-8:1710,13-3:21660,3-8-13:23080,13-3-8:160810
2025-08-16,中京,6,07253706,6:170,6:110;7:150;5:220,5-5:410,6-7:430,6-7:230;5-6:410;5-7:850,6-7:570,5-6-7:1490,6-7-5:3390
2025-08-16,中京,7,07253707,8:960,8:240;5:120;7:300,5-8:740,5-8:1050,5-8:490;7-8:1650;5-7:660,8-5:2570,5-7-8:4150,8-5-7:24450
2025-08-16,中京,8,07253708,8:380,8:120;1:100;4:160,,1-8:250,1-8:150;4-8:630;1-4:270,8-1:690,1-4-8:860,8-1-4:4550
