date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-09-20,中山,11,06254611,11:250,11:130;4:160;14:230,3-6:420,4-11:780,4-11:380;11-14:690;4-14:860,11-4:940,4-11-14:3400,11-4-14:8690
2025-09-20,中山,12,06254612,11:2970,11:500;15:120;10:450,6-8:350,11-15:2090,11-15:1000;10-11:4650;10-15:760,11-15:10250,10-11-15:12210,11-15-10:124340
2025-09-20,阪神,1,09254601,1:210,1:110;6:530;7:480,1-6:3060,1-6:3030,1-6:950;1-7:690;6-7:3020,1-6:4010,1-6-7:8730,1-6-7:34190
2025-09-20,阪神,2,09254602,3:170,3:110;2:210,,2-3:530,2-3:210;3-4:290;2-4:680,3-2:790,2-3-4:1280,3-2-4:3060
2025-09-20,阪神,3,09254603,4:250,4:120;7:150;1:180,4-7:410,4-7:550,4-7:280;1-4:370;1-7:500,4-7:940,1-4-7:1150,4-7-1:3640
2025-09-20,阪神,4,09254604,6:270,6:110;5:110;4:160,5-6:150,5-6:160,5-6:110;4-6:290;4-5:210,6-5:390,4-5-6:390,6-5-4:1320
2025-09-20,阪神,5,09254605,6:370,6:160;5:220;9:590,4-4:1170,5-6:1190,5-6:480;6-9:1230;5-9:1690,6-5:1920,5-6-9:7230,6-5-9:26170
2025-09-20,阪神,6,09254606,6:300,6:130;5:130;16:650,3-3:380,5-6:400,5-6:210;6-16:2400;5-16:1830,6-5:820,5-6-16:6700,6-5-16:21520
2025-09-20,阪神,7,09254607,16:370,16:150;6:420;2:150,3-8:4150,6-16:6080,6-16:1370;2-16:350;2-6:810,16-6:9000,2-6-16:5160,16-6-2:36500
2025-09-20,阪神,8,09254608,4:180,4:110;6:120,,4-6:200,4-6:130;2-4:310;2-6:310,4-6:380,2-4-6:620,4-6-2:1910
2025-09-20,阪神,9,09254609,8:170,8:110;9:190;16:210,4-5:780,8-9:840,8-9:370;8-16:330;9-16:750,8-9:1300,8-9-16:1490,8-9-16:6550
2025-09-20,阪神,10,09254610,1:140,1:110;5:150,,1-5:240,1-5:150;1-7:430;5-7:610,1-5:310,1-5-7:1020,1-5-7:2170
2025-09-20,阪神,11,09254611,13:6750,13:1230;11:2640;4:250,7-8:4560,11-13:168330,11-13:31140;4-13:7730;4-11:13100,13-11:345070,4-11-13:490900,13-11-4:5628510
2025-09-20,阪神,12,09254612,1:830,1:220;2:140;9:2280,1-1:840,1-2:920,1-2:450;1-9:14610;2-9:8230,1-2:2170,1-2-9:40130,1-2-9:142350
