date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-06-29,福島,4,03252204,1:430,1:160;7:160;5:140,1-4:1040,1-7:1580,1-7:550;1-5:510;5-7:410,1-7:2470,1-5-7:2550,1-7-5:14480
2025-06-29,福島,5,03252205,9:220,9:130;8:410;13:170,6-6:2550,8-9:2890,8-9:860;9-13:370;8-13:1300,9-8:3780,8-9-13:3700,9-8-13:17960
2025-06-29,福島,6,03252206,2:330,2:130;6:110,,2-6:230,2-6:120;2-7:210;6-7:150,2-6:580,2-6-7:240,2-6-7:1380
2025-06-29,福島,7,03252207,2:1140,2:200;4:110;8:180,1-2:650,2-4:770,2-4:360;2-8:990;4-8:300,2-4:2610,2-4-8:2010,2-4-8:15220
2025-06-29,福島,8,03252208,4:5320,4:860;5:250;3:130,4-5:20370,4-5:20750,4-5:3820;3-4:1390;3-5:490,4-5:52570,3-4-5:9150,4-5-3:144800
2025-06-29,福島,9,03252209,1:180,1:110;3:120;8:120,1-3:500,1-3:510,1-3:190;1-8:180;3-8:270,1-3:660,1-3-8:490,1-3-8:1550
2025-06-29,福島,10,03252210,13:240,13:140;14:360;8:290,7-8:660,13-14:1730,13-14:720;8-13:630;8-14:2890,13-14:2640,8-13-14:5650,13-14-8:18760
2025-06-29,福島,11,03252211,1:760,1:280;5:200;7:430,1-4:1760,1-5:2700,1-5:920;1-7:1590;5-7:1480,1-5:5510,1-5-7:10520,1-5-7:55480
2025-06-29,福島,12,03252212,4:380,4:180;13:3390;8:400,3-8:8270,4-13:57200,4-13:14650;4-8:1280;8-13:22830,4-13:54130,4-8-13:142380,4-13-8:984550
2025-06-29,小倉,1,10252201,5:540,5:190;12:140;1:1170,5-8:720,5-12:1370,5-12:510;1-5:6590;1-12:2860,5-12:2260,1-5-12:20570,5-12-1:73700
2025-06-29,小倉,2,10252202,17:220,17:120;13:140;14:330,7-8:360,13-17:360,13-17:200;14-17:700;13-14:1120,17-13:570,13-14-17:2130,17-13-14:5830
2025-06-29,小倉,3,10252203,7:430,7:160;4:360;1:150,2-4:1370,4-7:3970,4-7:1170;1-7:340;1-4:910,7-4:5490,1-4-7:4030,7-4-1:28480
2025-06-29,小倉,4,10252204,14:820,14:300;16:210;13:220,7-8:1180,14-16:2360,14-16:920;13-14:1100;13-16:910,14-16:5170,13-14-16:5590,14-16-13:35570
2025-06-29,小倉,5,10252205,10:260,10:140;13:710;15:220,5-7:630,10-13:6430,10-13:2450;10-15:590;13-15:2970,10-13:10400,10-13-15:12810,10-13-15:58140
2025-06-29,小倉,6,10252206,2:460,2:130;9:150;4:110,2-8:1090,2-9:1510,2-9:370;2-4:170;4-9:250,2-9:2780,2-4-9:670,2-9-4:6420
2025-06-29,小倉,7,10252207,4:510,4:180;6:160;17:810,2-3:760,4-6:830,4-6:360;4-17:4140;6-17:3120,4-6:1710,4-6-17:14180,4-6-17:49750
2025-06-29,小倉,8,10252208,13:910,13:200;2:160;12:140,2-8:1060,2-13:2090,2-13:650;12-13:460;2-12:340,13-2:3960,2-12-13:2120,13-2-12:16940
2025-06-29,小倉,9,10252209,6:410,6:140;1:110;4:160,,1-6:600,1-6:240;4-6:460;1-4:320,6-1:1240,1-4-6:1150,6-1-4:5430
2025-06-29,小倉,10,10252210,11:1050,11:290;10:270;9:140,6-6:5430,10-11:5420,10-11:1550;9-11:640;9-10:590,11-10:13400,9-10-11:4420,11-10-9:41440
2025-06-29,小倉,11,10252211,3:580,3:170;4:200;5:130,3-4:630,3-4:1800,3-4:640;3-5:370;4-5:400,3-4:3710,3-4-5:1520,3-4-5:9920
2025-06-29,小倉,12,10252212,5:650,5:200;13:180;2:130,3-7:670,5-13:2280,5-13:770;2-5:430;2-13:370,5-13:4060,2-5-13:2360,5-13-2:14870
