date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-09-15,中山,1,06254501,15:1440,15:860;14:5630;3:940,7-8:12640,14-15:50330,14-15:9620;3-15:2120;3-14:16010,15-14:101360,3-14-15:183370,15-14-3:1052470
2025-09-15,中山,2,06254502,3:340,3:120;7:190;2:190,3-7:750,3-7:970,3-7:400;2-3:420;2-7:800,3-7:1900,2-3-7:1910,3-7-2:11070
2025-09-15,中山,3,06254503,9:350,9:120;6:120;16:110,3-5:1180,6-9:1200,6-9:310;9-16:180;6-16:160,9-6:2010,6-9-16:420,9-6-16:3960
2025-09-15,中山,4,06254504,13:290,13:150;14:700;6:460,7-7:3580,13-14:4010,13-14:1490;6-13:1290;6-14:7310,13-14:5540,6-13-14:25490,13-14-6:81320
2025-09-15,中山,5,06254505,7:280,7:150;10:340;6:390,5-7:830,7-10:2220,7-10:770;6-7:900;6-10:2560,7-10:3340,6-7-10:8310,7-10-6:34200
2025-09-15,中山,6,06254506,11:400,11:140;4:110;7:130,4-8:300,4-11:460,4-11:220;7-11:310;4-7:190,11-4:1160,4-7-11:580,11-4-7:2910
2025-09-15,中山,7,06254507,11:430,11:180;16:220;4:180,6-8:1340,11-16:1600,11-16:700;4-11:400;4-16:850,11-16:2890,4-11-16:3330,11-16-4:19010
2025-09-15,中山,8,06254508,9:780,9:190;3:110;1:550,3-6:210,3-9:480,3-9:250;1-9:3840;1-3:1140,9-3:1830,1-3-9:6130,9-3-1:48660
2025-09-15,中山,9,06254509,3:190,3:110;10:110;2:230,3-8:170,3-10:240,3-10:150;2-3:630;2-10:740,3-10:410,2-3-10:1430,3-10-2:3750
2025-09-15,中山,10,06254510,1:360,1:120;6:110;2:160,1-6:240,1-6:250,1-6:150;1-2:450;2-6:280,1-6:660,1-2-6:530,1-6-2:2700
2025-09-15,中山,11,06254511,6:260,6:130;5:420;8:160,5-5:3100,5-6:3480,5-6:1060;6-8:300;5-8:1240,6-5:5140,5-6-8:3280,6-5-8:19770
2025-09-15,中山,12,06254512,8:200,8:120;5:190;1:530,3-4:310,5-8:470,5-8:280;1-8:1000;1-5:2210,8-5:710,1-5-8:3600,8-5-1:10160
2025-09-15,阪神,1,09254501,4:1070,4:350;6:150,,4-6:1320,4-6:260;2-4:230;2-6:110,4-6:3280,2-4-6:280,4-6-2:5070
2025-09-15,阪神,2,09254502,6:670,6:240;5:160;1:220,,5-6:880,5-6:330;1-6:460;1-5:290,6-5:2100,1-5-6:950,6-5-1:7780
2025-09-15,阪神,3,09254503,1:290,1:120;5:110,,1-5:170,1-5:110;1-2:240;2-5:230,1-5:430,1-2-5:370,1-5-2:1350
2025-09-15,阪神,4,09254504,9:330,9:140;5:160;16:150,3-5:650,5-9:1010,5-9:370;9-16:420;5-16:500,9-5:1820,5-9-16:2060,9-5-16:9330
2025-09-15,阪神,5,09254505,6:3330,6:750;2:910;5:230,2-6:22120,2-6:24450,2-6:4200;5-6:1720;2-5:1770,6-2:44570,2-5-6:26110,6-2-5:294700
2025-09-15,阪神,6,09254506,2:190,2:130;18:360;10:1220,1-8:470,2-18:1410,2-18:630;2-10:2440;10-18:13900,2-18:2180,2-10-18:39080,2-18-10:130330
2025-09-15,阪神,7,09254507,11:330,11:120;9:110;12:130,6-7:410,9-11:450,9-11:190;11-12:230;9-12:220,11-9:920,9-11-12:380,11-9-12:2170
2025-09-15,阪神,8,09254508,8:260,8:110;2:120;7:110,,2-8:780,2-8:240;7-8:150;2-7:200,8-2:1310,2-7-8:350,8-2-7:2410
2025-09-15,阪神,9,09254509,13:170,13:110;12:190;10:160,8-8:820,12-13:950,12-13:350;10-13:260;10-12:720,13-12:1170,10-12-13:1500,13-12-10:4840
2025-09-15,阪神,10,09254510,8:360,8:250;1:780;4:960,1-8:1310,1-8:4060,1-8:810;4-8:1180;1-4:4900,8-1:6550,1-4-8:21700,8-1-4:94170
2025-09-15,阪神,11,09254511,4:1110,4:350;6:160;14:130,3-4:2210,4-6:2780,4-6:980;4-14:830;6-14:330,4-6:5220,4-6-14:2790,4-6-14:21080
2025-09-15,阪神,12,09254512,14:580,14:250;15:580;1:350,8-8:5330,14-15:5970,14-15:1790;1-14:1340;1-15:3330,14-15:8960,1-14-15:18740,14-15-1:80590
2025-09-21,中山,1,06254701,5:220,5:110;11:110;6:190,3-6:260,5-11:310,5-11:170;5-6:360;6-11:340,5-11:610,5-6-11:640,5-11-6:2290
2025-09-21,中山,2,06254702,3:2270,3:680;10:1340;12:380,2-5:11640,3-10:41560,3-10:9600;3-12:2860;10-12:6420,3-10:70020,3-10-12:104720,3-10-12:718390
2025-09-21,中山,3,06254703,3:110,3:100;4:360;6:110,3-4:2790,3-4:2160,3-4:550;3-6:120;4-6:1060,3-4:2690,3-4-6:1160,3-4-6:6450
2025-09-21,中山,4,06254704,8:1630,8:400;3:150;4:350,2-4:1270,3-8:2630,3-8:840;4-8:1960;3-4:620,8-3:6170,3-4-8:6210,8-3-4:49980
2025-09-21,中山,5,06254705,7:200,7:110;9:140;1:360,7-8:310,7-9:340,7-9:190;1-7:770;1-9:1150,7-9:630,1-7-9:2160,7-9-1:5720
2025-09-21,中山,6,06254706,14:170,14:110;6:230;11:230,3-7:620,6-14:870,6-14:380;11-14:380;6-11:1260,14-6:1070,6-11-14:2620,14-6-11:6680
2025-09-21,中山,7,06254707,10:450,10:130;16:110;8:320,5-8:280,10-16:300,10-16:190;8-10:730;8-16:630,10-16:1020,8-10-16:1170,10-16-8:5480
2025-09-21,中山,8,06254708,13:890,13:270;1:380;15:250,1-7:4210,1-13:5500,1-13:1690;13-15:920;1-15:1780,13-1:11000,1-13-15:11540,13-1-15:71940
2025-09-21,中山,9,06254709,3:140,3:110;8:150;4:560,3-8:160,3-8:460,3-8:230;3-4:940;4-8:1490,3-8:500,3-4-8:4140,3-8-4:8400
