date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-09-13,中山,1,06254301,11:380,11:170;2:200;6:510,2-8:1000,2-11:890,2-11:420;6-11:920;2-6:1450,11-2:1540,2-6-11:4070,11-2-6:13760
2025-09-13,中山,2,06254302,1:1410,1:440;5:410;9:330,1-5:11230,1-5:11090,1-5:2620;1-9:2170;5-9:2140,1-5:19620,1-5-9:34950,1-5-9:186060
2025-09-13,中山,3,06254303,4:530,4:240;8:430;9:150,2-4:1600,4-8:6400,4-8:2330;4-9:680;8-9:1230,4-8:9720,4-8-9:8230,4-8-9:48280
2025-09-13,中山,4,06254304,7:160,7:110;3:250;6:170,3-5:1160,3-7:1030,3-7:420;6-7:300;3-6:1370,7-3:1380,3-6-7:2280,7-3-6:7260
2025-09-13,中山,5,06254305,3:340,3:130;16:110;14:340,2-8:380,3-16:460,3-16:220;3-14:990;14-16:510,3-16:960,3-14-16:1480,3-16-14:7480
2025-09-13,中山,6,06254306,6:290,6:140;3:230;8:1070,3-6:930,3-6:970,3-6:370;6-8:2190;3-8:4760,6-3:1450,3-6-8:18840,6-3-8:50900
2025-09-13,中山,7,06254307,15:180,15:120;5:390;11:310,3-8:1590,5-15:1550,5-15:620;11-15:630;5-11:2700,15-5:1940,5-11-15:5900,15-5-11:16620
2025-09-13,中山,8,06254308,11:320,11:140;13:120;14:1190,6-7:400,11-13:400,11-13:200;11-14:2970;13-14:2600,11-13:840,11-13-14:8010,11-13-14:22970
2025-09-13,中山,9,06254309,11:320,11:190;5:290;8:210,5-8:2020,5-11:2460,5-11:830;8-11:430;5-8:950,11-5:3670,5-8-11:4020,11-5-8:17650
2025-09-13,中山,10,06254310,5:610,5:200;6:160;2:210,5-6:940,5-6:1760,5-6:580;2-5:520;2-6:660,5-6:3380,2-5-6:2650,5-6-2:16780
2025-09-13,中山,11,06254311,4:400,4:170;6:140;9:310,4-6:640,4-6:550,4-6:270;4-9:670;6-9:550,4-6:990,4-6-9:1600,4-6-9:6360
2025-09-13,中山,12,06254312,11:230,11:140;5:170;3:850,3-6:680,5-11:620,5-11:310;3-11:1690;3-5:3140,11-5:910,3-5-11:8670,11-5-3:25100
2025-09-13,阪神,1,09254301,3:430,3:110;1:110;7:140,,1-3:340,1-3:140;3-7:300;1-7:220,3-1:980,1-3-7:550,3-1-7:3150
2025-09-13,阪神,2,09254302,8:140,8:110;6:110;7:470,,6-8:190,6-8:120;7-8:770;6-7:940,8-6:290,6-7-8:1600,8-6-7:3110
2025-09-13,阪神,3,09254303,2:240,2:100;5:100,,2-5:110,2-5:100;2-3:130;3-5:130,2-5:320,2-3-5:130,2-5-3:470
2025-09-13,阪神,4,09254304,13:720,13:240;11:440;6:320,6-7:1900,11-13:4010,11-13:1190;6-13:1020;6-11:1920,13-11:6680,6-11-13:9340,13-11-6:48000
2025-09-13,阪神,5,09254305,5:480,5:170;9:260;8:130,5-7:550,5-9:2220,5-9:730;5-8:340;8-9:570,5-9:3230,5-8-9:1990,5-9-8:12530
2025-09-13,阪神,6,09254306,2:380,2:180;1:340;6:710,1-2:1670,1-2:2000,1-2:680;2-6:1600;1-6:3180,2-1:3090,1-2-6:14330,2-1-6:51910
2025-09-13,阪神,7,09254307,14:1080,14:360;5:440;10:500,3-7:2350,5-14:10250,5-14:3140;10-14:2720;5-10:4170,14-5:18370,5-10-14:55750,14-5-10:268510
2025-09-13,阪神,8,09254308,3:250,3:260;6:550,,3-6:1460,3-6:340;3-5:680;5-6:1070,3-6:1910,3-5-6:4540,3-6-5:18560
2025-09-13,阪神,9,09254309,9:240,9:130;18:190;14:580,5-8:600,9-18:750,9-18:350;9-14:1320;14-18:2280,9-18:1180,9-14-18:5690,9-18-14:18450
2025-09-13,阪神,10,09254310,5:680,5:180;4:140;9:140,4-5:1300,4-5:1390,4-5:450;5-9:460;4-9:340,5-4:3260,4-5-9:1770,5-4-9:13700
2025-09-13,阪神,11,09254311,11:470,11:180;12:140;2:270,6-7:530,11-12:910,11-12:430;2-11:810;2-12:760,11-12:1830,2-11-12:3050,11-12-2:12720
2025-09-13,阪神,12,09254312,4:700,4:190;3:120;10:150,3-3:700,3-4:820,3-4:340;4-10:610;3-10:230,4-3:2250,3-4-10:1220,4-3-10:8980
2025-09-14,中山,1,06254401,1:130,1:100;3:270;5:390,1-3:990,1-3:800,1-3:400;1-5:610;3-5:2260,1-3:1000,1-3-5:3920,1-3-5:7950
2025-09-14,中山,2,06254402,8:230,8:130;10:350;15:1550,4-5:2580,8-10:1900,8-10:680;8-15:2970;10-15:11700,8-10:2520,8-10-15:26600,8-10-15:78370
2025-09-14,中山,3,06254403,8:440,8:190;13:220;7:450,5-7:590,8-13:1430,8-13:570;7-8:1670;7-13:2440,8-13:2690,7-8-13:13060,8-13-7:53440
2025-09-14,中山,4,06254404,8:560,8:610;10:710;5:2540,7-8:230,8-10:2780,8-10:770;5-8:2330;5-10:4320,8-10:4230,5-8-10:26860,8-10-5:93560
2025-09-14,中山,5,06254405,6:230,6:120;4:120;7:800,4-6:420,4-6:390,4-6:200;6-7:1770;4-7:2210,6-4:700,4-6-7:6340,6-4-7:14790
2025-09-14,中山,6,06254406,1:4330,1:720;8:200;12:1060,1-4:6360,1-8:9590,1-8:2730;1-12:13060;8-12:3610,1-8:29050,1-8-12:117620,1-8-12:828840
2025-09-14,中山,7,06254407,2:350,2:170;1:190;7:410,1-1:1070,1-2:1090,1-2:530;2-7:990;1-7:1160,2-1:1600,1-2-7:3450,2-1-7:11280
2025-09-14,中山,8,06254408,3:660,3:260;14:230;12:160,2-7:1890,3-14:2020,3-14:720;3-12:640;12-14:480,3-14:3310,3-12-14:2630,3-14-12:17270
2025-09-14,中山,9,06254409,8:1620,8:260;6:410;4:160,,6-8:8790,6-8:1760;4-8:560;4-6:1070,8-6:21410,4-6-8:10210,8-6-4:112600
2025-09-14,中山,10,06254410,1:1190,1:340;13:150;2:720,1-8:1460,1-13:1430,1-13:720;1-2:4820;2-13:2020,1-13:4250,1-2-13:24350,1-13-2:146430
