date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-07-26,札幌,12,01251112,10:200,10:120;4:690;14:250,3-6:1610,4-10:3500,4-10:1390;10-14:560;4-14:5810,10-4:4370,4-10-14:13770,10-4-14:57070
2025-07-27,中京,1,07253201,14:190,14:110;4:130;8:440,3-8:420,4-14:430,4-14:220;8-14:1050;4-8:1630,14-4:730,4-8-14:3520,14-4-8:9980
2025-07-27,中京,2,07253202,3:720,3:230;15:190;14:510,2-8:1970,3-15:1850,3-15:670;3-14:2070;14-15:1450,3-15:4060,3-14-15:9560,3-15-14:51750
2025-07-27,中京,3,07253203,3:670,3:220;6:160,,3-6:940,3-6:180;3-5:170;5-6:120,3-6:1770,3-5-6:320,3-6-5:5200
2025-07-27,中京,4,07253204,9:860,9:250;1:220;3:160,1-5:1440,1-9:3510,1-9:1230;3-9:690;1-3:640,9-1:7890,1-3-9:5140,9-1-3:36250
2025-07-27,中京,5,07253205,7:400,7:160;9:390;4:240,4-5:4670,7-9:4080,7-9:1280;4-7:640;4-9:1840,7-9:6290,4-7-9:11230,7-9-4:64490
2025-07-27,中京,6,07253206,3:270,3:110;7:110;2:160,3-7:220,3-7:240,3-7:150;2-3:350;2-7:320,3-7:480,2-3-7:610,3-7-2:2160
2025-07-27,中京,7,07253207,7:750,7:270;8:190;2:160,4-4:3110,7-8:2920,7-8:1100;2-7:790;2-8:500,7-8:5610,2-7-8:2970,7-8-2:19390
2025-07-27,中京,8,07253208,6:290,6:170;2:260,,2-6:930,2-6:250;4-6:160;2-4:240,6-2:1510,2-4-6:590,6-2-4:3850
2025-07-27,中京,9,07253209,5:440,5:130;6:120;1:110,5-6:1010,5-6:1020,5-6:270;1-5:190;1-6:160,5-6:1820,1-5-6:480,5-6-1:3940
2025-07-27,中京,10,07253210,9:210,9:130;11:890;8:420,7-8:710,9-11:6770,9-11:2100;8-9:890;8-11:11570,9-11:8180,8-9-11:33470,9-11-8:136630
2025-07-27,中京,11,07253211,5:200,5:130;1:180;9:310,1-5:690,1-5:710,1-5:300;5-9:650;1-9:1300,5-1:970,1-5-9:3040,5-1-9:7930
2025-07-27,中京,12,07253212,3:690,3:200;6:300;4:180,3-6:6040,3-6:4310,3-6:1170;3-4:590;4-6:900,3-6:8160,3-4-6:6340,3-6-4:47220
2025-07-27,新潟,1,04252201,2:110,2:100;5:960,,2-5:2170,2-5:660;2-3:290;3-5:3420,2-5:2450,2-3-5:4270,2-5-3:12840
