date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2026-07-05,小倉,12,10262412,10:170,10:110;2:420;15:330,1-5:770,2-10:1570,2-10:620;10-15:590;2-15:3800,10-2:2030,2-10-15:8960,10-2-15:24970
2026-07-11,函館,1,02261901,1:270,1:110;5:110;10:140,1-5:230,1-5:230,1-5:130;1-10:330;5-10:230,1-5:440,1-5-10:480,1-5-10:1650
2026-07-11,函館,2,02261902,7:600,7:160;3:220;4:310,3-5:780,3-7:1810,3-7:670;4-7:1200;3-4:1000,7-3:4190,3-4-7:5890,7-3-4:39650
2026-07-11,函館,3,02261903,6:290,6:150;5:440;4:860,3-3:2730,5-6:2630,5-6:810;4-6:1830;4-5:7710,6-5:3910,4-5-6:20530,6-5-4:73420
2026-07-11,函館,4,02261904,14:350,14:140;4:210;2:190,3-8:850,4-14:1400,4-14:540;2-14:620;2-4:760,14-4:2450,2-4-14:3450,14-4-2:14450
2026-07-11,函館,5,02261905,8:130,8:110;11:130;6:410,7-8:240,8-11:290,8-11:170;6-8:780;6-11:1440,8-11:370,6-8-11:2830,8-11-6:4780
2026-07-11,函館,6,02261906,9:200,9:110;4:170;3:190,4-7:590,4-9:690,4-9:330;3-9:400;3-4:490,9-4:1110,3-4-9:1170,9-4-3:4030
2026-07-11,函館,7,02261907,4:580,4:190;6:200;1:460,3-4:660,4-6:1820,4-6:440;1-4:1260;1-6:1560,4-6:3550,1-4-6:7220,4-6-1:31600
2026-07-11,函館,8,02261908,8:1000,8:190;1:180;4:150,1-6:1850,1-8:1640,1-8:560;4-8:550;1-4:470,8-1:3860,1-4-8:2760,8-1-4:17390
2026-07-11,函館,9,02261909,4:1870,4:490;8:320;9:410,4-7:4730,4-8:5980,4-8:1360;4-9:2270;8-9:1430,4-8:16690,4-8-9:19720,4-8-9:164230
2026-07-11,函館,10,02261910,7:320,7:190;2:150;6:620,2-5:540,2-7:580,2-7:390;6-7:2100;2-6:1390,7-2:890,2-6-7:5560,7-2-6:15870
2026-07-11,函館,11,02261911,1:450,1:190;3:190;2:690,1-3:1150,1-3:1110,1-3:500;1-2:1860;2-3:2520,1-3:2200,1-2-3:8740,1-3-2:32140
2026-07-11,函館,12,02261912,1:150,1:110;4:140;8:370,,1-4:360,1-4:190;1-8:830;4-8:930,1-4:480,1-4-8:2200,1-4-8:7470
2026-07-11,福島,1,03262501,6:740,6:190;3:120;11:920,3-6:240,3-6:760,3-6:360;6-11:4120;3-11:1460,6-3:1830,3-6-11:9390,6-3-11:50830
2026-07-11,福島,2,03262502,6:280,6:120;2:180;5:140,2-4:530,2-6:1160,2-6:440;5-6:220;2-5:440,6-2:1570,2-5-6:1160,6-2-5:5310
2026-07-11,福島,3,03262503,1:260,1:140;9:160;4:170,1-6:830,1-9:880,1-9:370;1-4:360;4-9:590,1-9:1470,1-4-9:1480,1-9-4:5410
2026-07-11,福島,4,03262504,13:510,13:150;5:140;4:140,3-7:420,5-13:940,5-13:300;4-13:310;4-5:220,13-5:1870,4-5-13:800,13-5-4:5800
2026-07-11,福島,5,03262505,1:150,1:110;10:150;4:230,1-8:350,1-10:410,1-10:210;1-4:420;4-10:1020,1-10:450,1-4-10:1600,1-10-4:3440
2026-07-11,福島,6,03262506,9:1200,9:430;6:370;1:370,3-5:3630,6-9:7480,6-9:1870;1-9:2020;1-6:2370,9-6:13960,1-6-9:24850,9-6-1:148070
2026-07-11,福島,7,03262507,6:220,6:120;9:310;4:140,6-7:2830,6-9:2690,6-9:580;4-6:210;4-9:1050,6-9:3390,4-6-9:2360,6-9-4:12570
2026-07-11,福島,8,03262508,12:320,12:190;9:190;1:250,5-6:800,9-12:960,9-12:440;1-12:620;1-9:790,12-9:1540,1-9-12:2900,12-9-1:10050
2026-07-11,福島,9,03262509,13:600,13:190;5:200;3:460,3-7:1840,5-13:1500,5-13:640;3-13:1820;3-5:1880,13-5:4230,3-5-13:10420,13-5-3:54670
2026-07-11,福島,10,03262510,8:200,8:110;9:230;5:260,8-8:980,8-9:1250,8-9:410;5-8:490;5-9:1220,8-9:1610,5-8-9:3850,8-9-5:11620
2026-07-11,福島,11,03262511,5:590,5:210;7:740;9:200,5-7:11010,5-7:10050,5-7:2580;5-9:660;7-9:2140,5-7:13940,5-7-9:15050,5-7-9:128500
2026-07-11,福島,12,03262512,6:1050,6:280;13:220;15:170,4-7:980,6-13:2470,6-13:910;6-15:790;13-15:530,6-13:5640,6-13-15:4080,6-13-15:42040
2026-07-11,小倉,1,10262501,10:180,10:110;12:250;2:410,7-8:560,10-12:1090,10-12:480;2-10:610;2-12:2540,10-12:1520,2-10-12:4160,10-12-2:9170
2026-07-11,小倉,2,10262502,8:440,8:130;9:250;6:170,4-5:1450,8-9:1790,8-9:740;6-8:430;6-9:710,8-9:3530,6-8-9:2960,8-9-6:18010
2026-07-11,小倉,3,10262503,10:1100,10:370;14:320;7:280,5-7:1120,10-14:7310,10-14:2530;7-10:1810;7-14:1580,10-14:13770,7-10-14:18690,10-14-7:111830
2026-07-11,小倉,4,10262504,1:560,1:190;3:390;2:110,1-2:1290,1-3:8110,1-3:2400;1-2:340;2-3:780,1-3:16090,1-2-3:3180,1-3-2:31490
2026-07-11,小倉,5,10262505,1:200,1:140;5:760;9:1020,1-5:1830,1-5:3780,1-5:1540;1-9:2160;5-9:8940,1-5:6220,1-5-9:26340,1-5-9:90160
2026-07-11,小倉,6,10262506,16:470,16:130;17:110;1:150;7:180,8-8:380,16-17:630,16-17:190;1-16:530;7-16:710;1-17:230;7-17:280,16-17:1340,1-16-17:900;7-16-17:1240,16-17-1:4370;16-17-7:6660
2026-07-11,小倉,7,10262507,6:400,6:190;5:240;1:770,5-5:1790,5-6:1690,5-6:620;1-6:1890;1-5:2960,6-5:2850,1-5-6:14590,6-5-1:44650
2026-07-11,小倉,8,10262508,10:790,10:320;8:200;4:200,7-8:880,8-10:4390,8-10:1490;4-10:1740;4-8:530,10-8:6110,4-8-10:8730,10-8-4:53050
2026-07-11,小倉,9,10262509,4:1810,4:430;3:180;10:260,3-4:3070,3-4:2770,3-4:870;4-10:1500;3-10:480,4-3:6530,3-4-10:4730,4-3-10:37670
2026-07-11,小倉,10,10262510,14:650,14:250;3:3710;16:200,2-7:7390,3-14:69900,3-14:18260;14-16:580;3-16:14380,14-3:99330,3-14-16:67200,14-3-16:715920
2026-07-11,小倉,11,10262511,5:570,5:210;1:370;7:250,1-5:3380,1-5:2850,1-5:800;5-7:540;1-7:1050,5-1:4800,1-5-7:4360,5-1-7:23590
2026-07-11,小倉,12,10262512,11:940,11:350;2:440;16:370,1-6:3030,2-11:5920,2-11:2030;11-16:1470;2-16:1920,11-2:11090,2-11-16:16990,11-2-16:92030
2026-07-12,函館,1,02261a01,4:430,4:120;6:110;12:170,4-5:360,4-6:360,4-6:180;4-12:460;6-12:330,4-6:890,4-6-12:880,4-6-12:4070
2026-07-12,函館,2,02261a02,7:390,7:200;11:420;6:500,5-7:2240,7-11:3950,7-11:1170;6-7:1430;6-11:2630,7-11:6320,6-7-11:17670,7-11-6:84710
2026-07-12,函館,3,02261a03,12:150,12:110;8:230;5:370,5-7:630,8-12:810,8-12:380;5-12:980;5-8:2610,12-8:950,5-8-12:5420,12-8-5:11620
2026-07-12,函館,4,02261a04,4:490,4:220;3:280;7:1440,2-2:2740,3-4:2730,3-4:1100;4-7:3970;3-7:12610,4-3:4980,3-4-7:44620,4-3-7:128650
2026-07-12,函館,5,02261a05,4:720,4:210;5:180;6:1180,4-5:1590,4-5:1880,4-5:710;4-6:3850;5-6:3420,4-5:4260,4-5-6:17130,4-5-6:81420
2026-07-12,函館,6,02261a06,1:1690,1:340;2:200;3:540,1-1:2480,1-2:2570,1-2:850;1-3:2090;2-3:1140,1-2:7010,1-2-3:11060,1-2-3:57110
2026-07-12,函館,7,02261a07,9:290,9:160;2:150;4:900,2-8:360,2-9:450,2-9:250;4-9:2720;2-4:2590,9-2:880,2-4-9:5370,9-2-4:18800
2026-07-12,函館,8,02261a08,2:280,2:170;9:140;8:260,2-7:430,2-9:620,2-9:260;2-8:760;8-9:730,2-9:1010,2-8-9:2580,2-9-8:6930
2026-07-12,函館,9,02261a09,1:1030,1:300;5:220;2:380,1-4:2030,1-5:2630,1-5:1050;1-2:1370;2-5:1120,1-5:7360,1-2-5:7750,1-5-2:51420
